id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo
U-004132,2020-06-14,España,,Laredo,Soy español o tengo nacionalidad española/ europea,Profesor,,,Sí,,,hasta 300,,Indiferente,Más de 6 meses
U-004133,2020-06-14,España,,Puerto del Rosario,Soy español o tengo nacionalidad española/ europea,Jubilado,,,No,,,hasta 300,,,Cuanto antes (hasta 3 meses)
U-004134,2020-06-14,España,,Madrid,Sin respuesta,Profesor,,,,,,hasta 300,,Sierra Norte de Madrid,Cuanto antes
U-004135,2020-06-14,España,,Madrid,En tramite (de aqui a 6 meses),,,,No,,,hasta 300,,Sierra Norte de Madrid,Cuanto antes
U-004136,2020-06-14,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Auxiliar,,,Si,,,hasta 300,,,Cuanto antes (hasta 3 meses)
U-004137,2020-06-06,España,,Javea,Soy español o tengo nacionalidad española/ europea,Atención al cliente,,,Sí,,,Hasta 600,,,Cuanto antes (hasta 3 meses)
U-004138,2020-06-06,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Trabajador social,,,Sí,,,Hasta 300,,,Cuanto antes (hasta 3 meses)
U-004139,2020-05-22,España,,Leganés,Soy español o tengo nacionalidad española/ europea,Mantenimiento,,,Si,,,hasta 600,,,
U-004140,2020-05-22,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Desempleado,,,Si,,,hasta 450,,,
U-004141,2020-05-22,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Empresario,,,Si,,,hasta 450,,,
U-004142,2020-05-22,España,,Lardero,Soy español o tengo nacionalidad española/ europea,Jubilado,,,Si,,,hasta 300,,,
U-004143,2020-05-22,,,Ipswich (Inglaterra),Soy español o tengo nacionalidad española/ europea,Informático,,,Si,,,hasta 600,,,
U-004144,2020-05-22,España,,Pinto,Soy español o tengo nacionalidad española/ europea,Militar,,,Si,,,hasta 450,,,
U-004145,2020-05-22,España,,Zaragoza,Soy español o tengo nacionalidad española/ europea,Militar,,,Si,,,hasta 450,,,
U-004146,2020-05-22,España,,Santa Eulalia del Río,Soy español o tengo nacionalidad española/ europea,Hostelero,,,Si,,,hasta 300,,,
U-004147,2020-05-22,España,,St Eulalia del Rio,Soy español o tengo nacionalidad española/ europea,Jardinero,,,Si,,,hasta 450,,,
U-004148,2020-05-22,España,,Granada,Soy español o tengo nacionalidad española/ europea,Logística de transportes,,,Si,,,hasta 300,,,
U-004149,2020-05-22,España,,Mungia,Soy español o tengo nacionalidad española/ europea,,,,Si,,,hasta 600,,,
U-004150,2020-05-22,España,,Madrid,Soy español o tengo nacionalidad española/ europea,,,,Si,,,hasta 600,,,
U-004151,2021-04-26,España,Zaragoza,Utebo,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Personal de Educación Infantil,3 meses,0,No,No,Si,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-004152,2021-04-26,España,Asturias,gijon,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,1 año,"38, 33, 5 y 3",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,1 mes
U-004153,2021-04-26,España,Murcia,CARTAGENA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,33-34,Si,Si,Si,Hasta 600€,Primera residencia,Indiferente,3 meses
U-004154,2021-04-26,España,A Coruña,Noia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,6 meses,6 años,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004155,2021-04-26,España,,Madrid,Soy español o tengo nacionalidad española/ europea,Administrativo,,,Si,,No,hasta 600,Primera residencia,Sierra Norte de Madrid,En los próximos 6 meses
U-004156,2021-04-26,España,Murcia,Cartagena,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,27 18,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004157,2021-04-26,España,León,León,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,1 año,55,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Palencia,6 meses
U-004158,2021-04-26,España,Málaga,Rincón de la Victoria,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cuidar ancianos,,55,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
U-004159,2021-04-26,España,Madrid,San Sebastian De Los Reyes,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,3 meses,"32, 32, 3",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
U-004160,2021-04-26,España,Valencia,VALENCIA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Funcionario,Más de 1 año,"40,38,13,7",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004161,2021-04-26,España,Valencia,Silla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,,"50,22,8 meses y 8 meses",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,1 mes
U-004162,2021-04-26,España,Madrid,Parla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mozo almacén,3 meses,De 35 a 18,No,No,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-004163,2021-04-26,España,Girona,Figueras,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,1 año,26 y 21,Si,Si,Si,Hasta 450€,Segunda residencia,Pueblos de Zaragoza,Aún me lo estoy pensando
U-004164,2021-04-26,España,Alicante,Alicante,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Albañil,3 meses,38 26 12,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,3 meses
U-004165,2021-04-26,España,Cádiz,chiclana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,3 meses,de momento yo y mas adelante 2 mas,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Jaén,Aún me lo estoy pensando
U-004166,2021-04-26,España,Baleares,Inca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,3 meses,"32, 27",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004168,2021-04-27,España,Madrid,Venturada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,"35,2.",Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,1 mes
U-004170,2021-04-27,España,Valencia,VALENCIA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Auxiliar,Más de 1 año,4,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004171,2021-04-27,España,Barcelona,Blanes,No estoy en ninguna de esas situaciones,Operario,,"38, 35, 9 meses",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes
U-004172,2021-04-27,España,Sevilla,SEVILLA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,0,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Jaén,6 meses
U-004173,2021-04-27,España,Zaragoza,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,6 meses,31,Si,Si,No,Hasta 600€,Primera residencia,Pueblos de Zaragoza,6 meses
U-004174,2021-04-27,España,Girona,Gerona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,29,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Burgos,3 meses
U-004176,2021-04-27,España,Cantabria,Cartes,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mantenimiento,Más de 1 año,"30, 33",Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Palencia,6 meses
U-004177,2021-04-27,España,Murcia,"Los alcazares,",No estoy en ninguna de esas situaciones,Militar,6 meses,46/47/13,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,3 meses
U-004178,2021-04-27,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,49-45-24-19-10,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
U-004179,2021-04-28,España,Ceuta y Melilla,Ceuta,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,no,No,No,No,Hasta 300€,Primera residencia,Pueblos de Jaén,3 meses
U-004181,2021-04-28,España,Cádiz,Jerez de la Frontera,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,3 meses,39,Si,No,No,Hasta 450€,Primera residencia,Pueblos de Palencia,3 meses
U-004182,2021-04-28,España,Vizcaya,Bilbao,No estoy en ninguna de esas situaciones,Camarero,3 meses,"33,12,10,8,7,6,4",No,No,Si,Hasta 300€,Primera residencia,Indiferente,1 mes
U-004185,2021-04-28,España,Guadalajara,Azuqueca De Henares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ferroviario,,59,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses
U-004186,2021-04-28,España,Alicante,torrevieja,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Artes visuales,3 meses,42 y 39,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-004187,2021-04-28,Latino América,Ninguna,Mala,No estoy en ninguna de esas situaciones,Estudiante,3 meses,"63, 60, 42, 39, 31, 24, 17, 6 ,3",No,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses
U-004188,2021-04-28,España,Valencia,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Diseñador grafico,,46. 33 y 14,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-004189,2021-04-28,España,Ceuta y Melilla,ceuta,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,Más de 1 año,"49, 48, 14",Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
U-004190,2021-04-28,Latino América,Ninguna,Bucaramanga,No estoy en ninguna de esas situaciones,Comercial,3 meses,45-37-16-14,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,1 mes
U-004191,2021-04-29,España,Las Palmas,Las palmas de Gran Canarias,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,Más de 1 año,46 y 45,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Jaén,3 meses
U-004192,2021-04-29,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,1 año,37-36-15-8,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-004193,2021-04-29,España,Murcia,LA UNIÓN,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,39 38 12,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,Aún me lo estoy pensando
U-004194,2021-04-29,España,Asturias,Pola de laviana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,Más de 1 año,"50,23,17",Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Palencia,6 meses
U-004195,2021-04-29,España,Zaragoza,El Frasno,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,45,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando
U-004196,2021-04-29,España,Ciudad Real,Ciudad Real,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro,1 año,46 y 47,No,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes
U-004197,2021-04-29,España,Valladolid,VALLADOLID,No estoy en ninguna de esas situaciones,Militar,6 meses,"43,42",Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses
U-004198,2021-04-29,España,Barcelona,badalona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,38,Si,Si,Si,Hasta 600€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004199,2021-04-29,España,Salamanca,Salamanca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,27,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
U-004200,2021-04-29,España,Guadalajara,CABANILLAS DEL CAMPO,No estoy en ninguna de esas situaciones,Militar,3 meses,48 Y 49,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Jaén,6 meses
U-004201,2021-04-29,España,Cádiz,JEREZ DE LA FRONTERA,No estoy en ninguna de esas situaciones,Militar,Más de 1 año,"45,14,17",Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Jaén,6 meses
U-004202,2021-04-29,España,Ceuta y Melilla,Melilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Electricista,Más de 1 año,"45, 33, 18, 16, 12",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004203,2021-04-29,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Funcionario,Más de 1 año,45,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
U-004204,2021-04-29,España,Madrid,ALCORCON,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero de Telecomunicación.,6 meses,50.52,Si,Si,No,Más de 600€,Primera residencia,Sierra norte de Madrid,3 meses
U-004205,2021-04-29,España,Barcelona,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Formador,,36 los dos,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Jaén,1 mes
U-004206,2021-04-29,España,Baleares,sóller,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,1 año,0 años,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-004207,2021-04-29,España,Almería,almeria,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,"32 MUJER, 10 HIJA,03 HIJA",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004208,2021-04-29,España,Cádiz,ARCOS DE LA FRONTERA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,"59, 44",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Jaén,3 meses
U-004209,2021-04-29,España,Ceuta y Melilla,MELILLA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,43-37-3-3,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,3 meses
U-004210,2021-04-29,España,Barcelona,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Asesor,,0,No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-004211,2021-04-29,España,Valladolid,Santovenia de Pisuerga,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,"41,41,3 y 3",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Palencia,Aún me lo estoy pensando
U-004212,2021-04-29,España,Sevilla,"Camas, Sevilla",No estoy en ninguna de esas situaciones,Militar,Más de 1 año,45-27-7-3,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Jaén,6 meses
U-004213,2021-04-30,España,Pontevedra,MARIN,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Electricista,1 año,31/33/2,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
U-004215,2021-04-30,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,Más de 1 año,39/32/12/3,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
U-004216,2021-04-30,España,Jaén,Jaén,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Operario,1 año,42 y 46,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Jaén,Aún me lo estoy pensando
U-004217,2021-04-30,España,Madrid,madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,38 28,No,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses
U-004218,2021-04-30,España,A Coruña,FERROL,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,6 meses,"75, 45, 41",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004219,2021-04-30,España,A Coruña,Ferol,No estoy en ninguna de esas situaciones,Mecánico,Más de 1 año,0,No,No,No,Hasta 300€,Primera residencia,Pueblos de Palencia,6 meses
U-004220,2021-04-30,España,La Rioja,Logroño,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dentista,,"64,62 22",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses
U-004221,2021-04-30,Otro,Ninguna,canillo (Principado de Andorra),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercial,3 meses,46 - 10,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses
U-004223,2021-05-01,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Electricista,3 meses,"32, 4.",Si,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-004224,2021-05-01,España,Madrid,La cabrera,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empleado del hogar,,"47,42,12,11,6",Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,1 mes
U-004225,2021-05-01,España,Málaga,Rincon de la Victoria,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Auxiliar,,55. 55,No,No,No,Hasta 300€,Segunda residencia,Pueblos de Jaén,3 meses
U-004226,2021-05-01,Latino América,Ninguna,Turmero,No estoy en ninguna de esas situaciones,Veterinario,3 meses,"15, 17, 52, 60",No,No,Si,Hasta 300€,Primera residencia,Pueblos de Jaén,3 meses
U-004227,2021-05-01,Latino América,Ninguna,Rosario,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Apicultor,6 meses,47 - 40 - 5,No,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
U-004228,2021-05-02,España,Ciudad Real,Viillarrubia de los Ojos,No estoy en ninguna de esas situaciones,Trabajador social,Más de 1 año,52-53,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004229,2021-05-02,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,56-44,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-004230,2021-05-02,España,Las Palmas,Arrecife,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,"37,14, 10, 7, y 2",Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Burgos,Aún me lo estoy pensando
U-004231,2021-05-02,España,Madrid,Madrid,No estoy en ninguna de esas situaciones,Militar,Más de 1 año,36 y 44 años,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
U-004232,2021-05-02,España,Madrid,Parla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,,"28,28",Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-004233,2021-05-02,España,Navarra,Tafalla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mantenimiento,1 año,32,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
U-004234,2021-05-02,España,Zaragoza,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro,6 meses,30 Y 32,Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Zaragoza,6 meses
U-004235,2021-05-02,España,Las Palmas,Vecindario,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,3 meses,"43, 41, 14, 14",Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Palencia,3 meses
U-004236,2021-05-02,Latino América,Ninguna,Bogota,No estoy en ninguna de esas situaciones,Otro,3 meses,25,No,No,No,Hasta 450€,Primera residencia,Pueblos de Jaén,3 meses
U-004237,2021-05-03,Latino América,Ninguna,Buenos Aires,No estoy en ninguna de esas situaciones,Ingeniero,,24 AÑOS,No,No,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004239,2021-05-03,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Esteticista,1 año,24- 22 años,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses
U-004240,2021-05-03,España,Madrid,Torrejón de Ardoz,No estoy en ninguna de esas situaciones,Asesor,3 meses,49,Si,Si,Si,Hasta 300€,Segunda residencia,Sierra norte de Madrid,1 mes
U-004241,2021-05-03,España,Madrid,Mejorada del campo,No estoy en ninguna de esas situaciones,Recepcionista,,"43, 40, 9, 4 años",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
U-004242,2021-05-03,España,Zaragoza,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,35 y 25,Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Zaragoza,6 meses
U-004243,2021-05-03,España,Lérida,Balaguer,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Diseñador grafico,,"43, 33",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004244,2021-05-04,Otro,Ninguna,Ciudad de Panama,No estoy en ninguna de esas situaciones,Publicista,3 meses,48,No,No,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004245,2021-05-04,España,Murcia,MURCIA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,,0,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004246,2021-05-04,España,Zaragoza,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,3 meses,0,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-004247,2021-05-04,España,Huesca,Huesca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,"42, 42, 9, 7, 5",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-004248,2021-05-04,España,Alicante,Elche,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,0,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
U-004249,2021-05-04,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Diseñador grafico,1 año,28,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,3 meses
U-004250,2021-05-04,España,Girona,Blanes,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dietista/ Nutricionista,1 año,"24, 23",Si,Si,No,Más de 600€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando
U-004251,2021-05-04,España,Huesca,Huesca,No estoy en ninguna de esas situaciones,Transportista,6 meses,"57. 38,3",Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando
U-004252,2021-05-04,España,Lérida,Lérida,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Enfermero,,0,No,Si,Si,Hasta 300€,Primera residencia,Pueblos de Jaén,6 meses
U-004253,2021-05-04,Latino América,Ninguna,"Quilmes, buenos Aires",No estoy en ninguna de esas situaciones,Albañil,6 meses,"30, 12 6 5 4",Si,Si,No,Hasta 600€,Primera residencia,Indiferente,1 mes
U-004254,2021-05-05,Latino América,Ninguna,Asunción,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,1 año,33 31,No,Si,No,Más de 600€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004255,2021-05-05,España,Alicante,villena,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,,"33, 31, 4 y 19 meses",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Jaén,3 meses
U-004256,2021-05-05,España,Tarragona,COMA-RUGA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Artes visuales,3 meses,57 y 38,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
U-004257,2021-05-05,España,Barcelona,Santa Coloma de Gramanet,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,6 meses,31 y 27,No,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
U-004258,2021-05-05,España,Murcia,Alcantarilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,3 meses,20,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,3 meses
U-004259,2021-05-05,España,Palencia,Rincón De La Vistoria,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Jardinero,Más de 1 año,55  55  28,No,No,No,Hasta 300€,Primera residencia,Pueblos de Palencia,3 meses
U-004260,2021-05-06,Latino América,Ninguna,Buenos Aires,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,0,No,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
U-004261,2021-05-06,Latino América,Ninguna,Buenos Aires,No estoy en ninguna de esas situaciones,Limpieza,3 meses,0,No,No,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-004262,2021-05-06,España,Zaragoza,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,,"30, 27",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-004263,2021-05-06,España,Baleares,Palma,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,1 año,56,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Jaén,6 meses
U-004264,2021-05-06,España,Madrid,Manzanares el Real,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Encargado,6 meses,"41, 9 meses",Si,Si,No,Hasta 600€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004265,2021-05-06,España,Córdoba,Córdoba,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cuidar ancianos,3 meses,31 y 28,No,No,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses
U-004266,2021-05-06,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,Más de 1 año,55,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-004267,2021-05-06,España,Las Palmas,Morto Jable (Pájara),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Vigilante,Más de 1 año,"44, 42, 5.",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-004268,2021-05-07,Latino América,Ninguna,Samborondon ecuador,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Médico,6 meses,"38,9,2",Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,3 meses
U-004269,2021-05-07,España,Madrid,Manzanares el Real,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,,34 32,Si,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses
U-004270,2021-05-07,España,Guadalajara,Guadalajara,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,1 año,34 32,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Burgos,Aún me lo estoy pensando
U-004271,2021-05-07,España,Cuenca,Cuenca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,6 meses,31 39,Si,Si,No,Hasta 300€,Segunda residencia,Sierra norte de Madrid,1 mes
U-004272,2021-05-07,España,Baleares,Palma de Mallorca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,Más de 1 año,52; 46; 21; 12; 10,Si,Si,No,Hasta 600€,Primera residencia,Indiferente,3 meses
U-004273,2021-05-07,España,Salamanca,Santa Marta de Tormes,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Militar,Más de 1 año,"10, 11 y 45 años (2 adultos contándome a mi)",Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando
